from,to,value,via
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
3dbeee40,c06aa294,600904155,insurer_phone_number
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
3dbeee40,c06aa294,600904155,insurer_phone_number
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
3dbeee40,c06aa294,600904155,insurer_phone_number
c06aa294,a2cef4f7,Zone_55,claim_location
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
3dbeee40,c06aa294,600904155,insurer_phone_number
c06aa294,a2cef4f7,Zone_55,claim_location
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
90a7e45b,dbfb58bf,Zone_68,claim_location
3dbeee40,c06aa294,600904155,insurer_phone_number
c06aa294,a2cef4f7,Zone_55,claim_location
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
90a7e45b,dbfb58bf,Zone_68,claim_location
3dbeee40,c06aa294,600904155,insurer_phone_number
c06aa294,a2cef4f7,Zone_55,claim_location
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
90a7e45b,dbfb58bf,Zone_68,claim_location
3dbeee40,c06aa294,600904155,insurer_phone_number
c06aa294,a2cef4f7,Zone_55,claim_location
a2cef4f7,b08e7bfd,23 Avenida Central,insurer_address
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
90a7e45b,dbfb58bf,Zone_68,claim_location
3dbeee40,c06aa294,600904155,insurer_phone_number
3dbeee40,dbb83833,ES87084490,bank_account
c06aa294,a2cef4f7,Zone_55,claim_location
a2cef4f7,b08e7bfd,23 Avenida Central,insurer_address
a2cef4f7,a4b96898,600446081,insurer_phone_number
dbfb58bf,48734acd,600335293,insurer_phone_number
dbfb58bf,a4b96898,ES54532647,bank_account
48734acd,1028b1e7,repair_13,repair_shop
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
90a7e45b,dbfb58bf,Zone_68,claim_location
3dbeee40,c06aa294,600904155,insurer_phone_number
3dbeee40,dbb83833,ES87084490,bank_account
c06aa294,a2cef4f7,Zone_55,claim_location
a2cef4f7,b08e7bfd,23 Avenida Central,insurer_address
a2cef4f7,a4b96898,600446081,insurer_phone_number
dbfb58bf,48734acd,600335293,insurer_phone_number
dbfb58bf,a4b96898,ES54532647,bank_account
48734acd,1028b1e7,repair_13,repair_shop
90a7e45b,3dbeee40,600904155,insurer_phone_number
90a7e45b,c06aa294,600904155,insurer_phone_number
90a7e45b,dbfb58bf,Zone_68,claim_location
3dbeee40,c06aa294,600904155,insurer_phone_number
3dbeee40,dbb83833,ES87084490,bank_account
c06aa294,a2cef4f7,Zone_55,claim_location
a2cef4f7,b08e7bfd,23 Avenida Central,insurer_address
