avg_component_degree,bank_account_used_to_connect_claims,betweenness_centrality,claim_date,claim_id,claim_location_used_to_connect_claims,closeness_centrality,component_size,connections_info,degree_centrality,entropy_of_entity_types,insurer_address_used_to_connect_claims,insurer_email_used_to_connect_claims,insurer_license_plate_used_to_connect_claims,insurer_phone_number_used_to_connect_claims,num_shared_entities_with_other_claims,repair_shop_used_to_connect_claims,third_party_license_plate_used_to_connect_claims,unique_bank_accounts_in_component,unique_claim_locations_in_component,unique_insurer_addresss_in_component,unique_insurer_emails_in_component,unique_insurer_license_plates_in_component,unique_insurer_phone_numbers_in_component,unique_repair_shops_in_component,unique_third_party_license_plates_in_component
1.75,0,1.0,2024-06-27,90a7e45b,0,1.0,8,"[{""connected_to"": ""insurer_license_plate:FH5939"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}, {""connected_to"": ""insurer_phone_number:600904155"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}, {""connected_to"": ""insurer_email:insured_82@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}, {""connected_to"": ""insurer_address:18 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}, {""connected_to"": ""repair_shop:repair_39"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}, {""connected_to"": ""bank_account:ES31320114"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}, {""connected_to"": ""claim_location:Zone_68"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-27 00:00:00""}]",1.0,1.945910149055313,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.8666666666666667,0,0.6923076923076924,2024-06-28,3dbeee40,0,0.5185185185185185,15,"[{""connected_to"": ""insurer_phone_number:600904155"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""insurer_license_plate:II2118"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""insurer_email:insured_81@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""insurer_address:5 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""repair_shop:repair_2"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""bank_account:ES87084490"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""claim_location:Zone_12"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}]",0.5,1.945910149055313,0,0,0,0,0,0,0,2,2,2,2,2,1,2,0
1.7777777777777777,0,1.0,2024-06-28,c06aa294,0,1.0,9,"[{""connected_to"": ""insurer_license_plate:GH9194"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""insurer_phone_number:601904155"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""insurer_email:insured_95@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""insurer_address:10 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""repair_shop:repair_32"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""bank_account:ES29088754"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""claim_location:Zone_55"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}, {""connected_to"": ""third_party_license_plate:OH7336"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-28 00:00:00""}]",1.0,2.0794415416798357,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.7777777777777777,0,1.0,2024-06-29,a2cef4f7,0,1.0,9,"[{""connected_to"": ""insurer_license_plate:JD4259"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""insurer_phone_number:600446081"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""insurer_email:insured_183@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""insurer_address:23 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""repair_shop:repair_35"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""bank_account:ES42901579"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""claim_location:Zone_56"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}, {""connected_to"": ""third_party_license_plate:JJ4027"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-29 00:00:00""}]",1.0,2.0794415416798357,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.7777777777777777,0,1.0,2024-06-30,b40777f6,0,1.0,9,"[{""connected_to"": ""insurer_license_plate:EL1845"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""insurer_phone_number:600189326"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""insurer_email:insured_143@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""insurer_address:15 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""repair_shop:repair_30"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""bank_account:ES67781085"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""claim_location:Zone_40"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}, {""connected_to"": ""third_party_license_plate:II2118"", ""via"": null, ""value"": null, ""timestamp"": ""2024-06-30 00:00:00""}]",1.0,2.0794415416798357,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.7777777777777777,0,1.0,2024-07-01,4f111138,0,1.0,9,"[{""connected_to"": ""insurer_license_plate:KC8145"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""insurer_phone_number:600826184"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""insurer_email:insured_70@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""insurer_address:27 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""repair_shop:repair_38"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""bank_account:ES71007570"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""claim_location:Zone_59"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""third_party_license_plate:AM2048"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}]",1.0,2.0794415416798357,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.7777777777777777,0,1.0,2024-07-01,dbfb58bf,0,1.0,9,"[{""connected_to"": ""insurer_license_plate:NJ5036"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""insurer_phone_number:600335293"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""insurer_email:insured_7@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""insurer_address:28 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""repair_shop:repair_33"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""bank_account:ES54532647"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""claim_location:Zone_168"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}, {""connected_to"": ""third_party_license_plate:PD7111"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-01 00:00:00""}]",1.0,2.0794415416798357,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.875,0,0.6571428571428573,2024-07-02,b08e7bfd,0,0.5,16,"[{""connected_to"": ""insurer_address:23 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}, {""connected_to"": ""insurer_license_plate:DE3658"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}, {""connected_to"": ""insurer_phone_number:600432795"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}, {""connected_to"": ""insurer_email:insured_94@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}, {""connected_to"": ""repair_shop:repair_12"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}, {""connected_to"": ""bank_account:ES67429369"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}, {""connected_to"": ""claim_location:Zone_74"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-02 00:00:00""}]",0.4666666666666667,2.0611128325795947,0,0,0,0,0,0,0,2,2,1,2,2,2,2,1
1.75,0,1.0,2024-07-03,1028b1e7,0,1.0,8,"[{""connected_to"": ""insurer_license_plate:HJ6341"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""insurer_phone_number:600596153"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""insurer_email:insured_77@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""insurer_address:20 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""repair_shop:repair_13"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""bank_account:ES82859036"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""claim_location:Zone_20"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}]",1.0,1.945910149055313,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.9130434782608696,0,0.7229437229437229,2024-07-03,48734acd,0,0.44,23,"[{""connected_to"": ""insurer_phone_number:600335293"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""repair_shop:repair_13"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""insurer_license_plate:KB3576"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""insurer_email:insured_160@mail.com"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""insurer_address:16 Avenida Central"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""bank_account:ES95330972"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""claim_location:Zone_4"", ""via"": null, ""value"": null, ""timestamp"": ""2024-07-03 00:00:00""}]",0.3181818181818182,2.0423670869023933,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1
