avg_component_degree,bank_account_used_to_connect_claims,betweenness_centrality,claim_date,claim_id,claim_location_used_to_connect_claims,closeness_centrality,component_size,connections_info,degree_centrality,entropy_of_entity_types,insurer_address_used_to_connect_claims,insurer_email_used_to_connect_claims,insurer_license_plate_used_to_connect_claims,insurer_phone_number_used_to_connect_claims,num_shared_entities_with_other_claims,repair_shop_used_to_connect_claims,third_party_license_plate_used_to_connect_claims,unique_bank_accounts_in_component,unique_claim_locations_in_component,unique_insurer_addresss_in_component,unique_insurer_emails_in_component,unique_insurer_license_plates_in_component,unique_insurer_phone_numbers_in_component,unique_repair_shops_in_component,unique_third_party_license_plates_in_component
0.0,0,0.0,2024-06-27,90a7e45b,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.0,0,0.0,2024-06-28,3dbeee40,0,1.0,2,"[{""connected_to"": ""90a7e45b"", ""via"": ""insurer_phone_number"", ""value"": 600904155, ""timestamp"": ""2024-06-28 00:00:00""}]",1.0,0,0,0,0,1,1,0,0,2,2,2,2,2,1,2,0
0.0,0,0.0,2024-06-28,c06aa294,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0.0,0,0.0,2024-06-29,a2cef4f7,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0.0,0,0.0,2024-06-30,b40777f6,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0.0,0,0.0,2024-07-01,4f111138,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0.0,0,0.0,2024-07-01,dbfb58bf,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.0,0,0.0,2024-07-02,b08e7bfd,0,1.0,2,"[{""connected_to"": ""a2cef4f7"", ""via"": ""insurer_address"", ""value"": ""23 Avenida Central"", ""timestamp"": ""2024-07-02 00:00:00""}]",1.0,0,1,0,0,0,1,0,0,2,2,1,2,2,2,2,1
1.6666666666666667,0,0.0,2024-07-03,1028b1e7,0,0.3333333333333333,6,"[{""connected_to"": ""48734acd"", ""via"": ""repair_shop"", ""value"": ""repair_13"", ""timestamp"": ""2024-07-03 00:00:00""}]",0.2,0,0,0,0,0,5,1,0,5,6,5,6,6,4,5,2
1.6666666666666667,0,0.4,2024-07-03,48734acd,0,0.45454545454545453,6,"[{""connected_to"": ""1028b1e7"", ""via"": ""repair_shop"", ""value"": ""repair_13"", ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-03 00:00:00""}]",0.4,0,0,0,0,1,5,1,0,5,6,5,6,6,4,5,2
1.6666666666666667,1,0.6000000000000001,2024-07-03,a4b96898,0,0.5555555555555556,6,"[{""connected_to"": ""a2cef4f7"", ""via"": ""insurer_phone_number"", ""value"": 600446081, ""timestamp"": ""2024-07-03 00:00:00""}, {""connected_to"": ""dbfb58bf"", ""via"": ""bank_account"", ""value"": ""ES54532647"", ""timestamp"": ""2024-07-03 00:00:00""}]",0.4,0,0,0,0,1,5,0,0,5,6,5,6,6,4,5,2
0.0,0,0.0,2024-07-03,d8033cc3,0,0.0,1,[],1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.3333333333333333,1,0.0,2024-07-03,dbb83833,0,0.6666666666666666,3,"[{""connected_to"": ""3dbeee40"", ""via"": ""bank_account"", ""value"": ""ES87084490"", ""timestamp"": ""2024-07-03 00:00:00""}]",0.5,0,0,0,0,0,2,0,0,2,3,3,3,3,2,3,0
2.4285714285714284,2,0.5,2024-07-04,a25a1ebb,0,0.5,14,"[{""connected_to"": ""ab824ba6"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""dbb83833"", ""via"": ""bank_account"", ""value"": ""ES87084490"", ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""4f111138"", ""via"": ""repair_shop"", ""value"": ""repair_38"", ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""48734acd"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""3dbeee40"", ""via"": ""bank_account"", ""value"": ""ES87084490"", ""timestamp"": ""2024-07-04 00:00:00""}]",0.46153846153846156,0,0,0,0,3,10,1,0,11,13,12,14,13,9,11,7
2.4285714285714284,0,0.0,2024-07-04,ab824ba6,0,0.43333333333333335,14,"[{""connected_to"": ""a25a1ebb"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""48734acd"", ""via"": ""insurer_phone_number"", ""value"": 600335293, ""timestamp"": ""2024-07-04 00:00:00""}]",0.23076923076923078,0,0,0,0,3,10,0,0,11,13,12,14,13,9,11,7
2.4285714285714284,0,0.15384615384615385,2024-07-04,b9d5e6dc,1,0.3333333333333333,14,"[{""connected_to"": ""a4b96898"", ""via"": ""claim_location"", ""value"": ""Zone_78"", ""timestamp"": ""2024-07-04 00:00:00""}, {""connected_to"": ""b40777f6"", ""via"": ""insurer_license_plate"", ""value"": ""EL1845"", ""timestamp"": ""2024-07-04 00:00:00""}]",0.15384615384615385,0,0,0,1,0,10,0,0,11,13,12,14,13,9,11,7
4.827586206896552,2,0.038447971781305115,2024-07-06,1b005a35,0,0.358974358974359,29,"[{""connected_to"": ""4cb83c72"", ""via"": ""insurer_address"", ""value"": ""34 Avenida Central"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""5d452b93"", ""via"": ""bank_account"", ""value"": ""ES67781085"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""d8033cc3"", ""via"": ""insurer_phone_number"", ""value"": 600664650, ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""b40777f6"", ""via"": ""bank_account"", ""value"": ""ES67781085"", ""timestamp"": ""2024-07-06 00:00:00""}]",0.14285714285714285,0,1,0,0,1,30,0,0,16,24,20,29,28,15,21,15
4.827586206896552,3,0.047118291761148894,2024-07-06,2db8cd46,0,0.4444444444444444,29,"[{""connected_to"": ""fc2f929f"", ""via"": ""bank_account"", ""value"": ""ES87084490"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""b9d5e6dc"", ""via"": ""insurer_phone_number"", ""value"": 600621704, ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""3dbeee40"", ""via"": ""insurer_address"", ""value"": ""5 Avenida Central"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""51ef5249"", ""via"": ""insurer_address"", ""value"": ""5 Avenida Central"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""a25a1ebb"", ""via"": ""bank_account"", ""value"": ""ES87084490"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""dbb83833"", ""via"": ""bank_account"", ""value"": ""ES87084490"", ""timestamp"": ""2024-07-06 00:00:00""}]",0.21428571428571427,0,2,0,0,1,30,0,0,16,24,20,29,28,15,21,15
4.827586206896552,1,0.07444885361552027,2024-07-06,4c287ede,1,0.4307692307692308,29,"[{""connected_to"": ""3dbeee40"", ""via"": ""claim_location"", ""value"": ""Zone_12"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""1028b1e7"", ""via"": ""insurer_phone_number"", ""value"": 600596153, ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""90a7e45b"", ""via"": ""insurer_address"", ""value"": ""18 Avenida Central"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""d8033cc3"", ""via"": ""bank_account"", ""value"": ""ES42953246"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""7c9666a8"", ""via"": ""insurer_address"", ""value"": ""18 Avenida Central"", ""timestamp"": ""2024-07-06 00:00:00""}]",0.17857142857142855,0,2,0,0,1,30,0,0,16,24,20,29,28,15,21,15
4.827586206896552,0,0.01820987654320988,2024-07-06,4cb83c72,0,0.36363636363636365,29,"[{""connected_to"": ""1b005a35"", ""via"": ""insurer_address"", ""value"": ""34 Avenida Central"", ""timestamp"": ""2024-07-06 00:00:00""}, {""connected_to"": ""5adc9a25"", ""via"": ""insurer_phone_number"", ""value"": 600809302, ""timestamp"": ""2024-07-06 00:00:00""}]",0.07142857142857142,0,1,0,0,1,30,0,0,16,24,20,29,28,15,21,15
