bank_account,claim_date,claim_id,claim_location,insurer_address,insurer_email,insurer_id,insurer_license_plate,insurer_name,insurer_phone_number,repair_shop,type_of_claim,third_party_license_plate,fraud
ES31320114,2024-06-27,90a7e45b,Zone_68,18 Avenida Central,insured_82@mail.com,ef691dd6,FH5939,Insured_82,600904155,repair_39,injury,,1
ES87084490,2024-06-28,3dbeee40,Zone_12,5 Avenida Central,insured_81@mail.com,98bddb58,II2118,Insured_81,600904155,repair_2,injury,,1
ES29088754,2024-06-28,c06aa294,Zone_55,10 Avenida Central,insured_95@mail.com,de264d0b,GH9194,Insured_95,601904155,repair_32,injury,OH7336,1
ES42901579,2024-06-29,a2cef4f7,Zone_56,23 Avenida Central,insured_183@mail.com,be85e54f,JD4259,Insured_183,600446081,repair_35,injury,JJ4027,1
ES67781085,2024-06-30,b40777f6,Zone_40,15 Avenida Central,insured_143@mail.com,d33cf3b9,EL1845,Insured_143,600189326,repair_30,collision,II2118,1
ES71007570,2024-07-01,4f111138,Zone_59,27 Avenida Central,insured_70@mail.com,0dcaa02a,KC8145,Insured_70,600826184,repair_38,injury,AM2048,0
ES54532647,2024-07-01,dbfb58bf,Zone_168,28 Avenida Central,insured_7@mail.com,4c26df1f,NJ5036,Insured_7,600335293,repair_33,collision,PD7111,0
ES67429369,2024-07-02,b08e7bfd,Zone_74,23 Avenida Central,insured_94@mail.com,29ebafbf,DE3658,Insured_94,600432795,repair_12,collision,,1
ES95330972,2024-07-03,48734acd,Zone_4,16 Avenida Central,insured_160@mail.com,1b221d9e,KB3576,Insured_160,600335293,repair_13,injury,,1
ES54532647,2024-07-03,a4b96898,Zone_78,36 Avenida Central,insured_27@mail.com,f182a826,CL9466,Insured_27,600446081,repair_27,injury,,1
ES82859036,2024-07-03,1028b1e7,Zone_20,20 Avenida Central,insured_77@mail.com,30cb6352,HJ6341,Insured_77,600596153,repair_13,collision,,1
ES42953246,2024-07-03,d8033cc3,Zone_16,39 Avenida Central,insured_118@mail.com,dabdc7f6,LC4785,Insured_118,600664650,repair_31,injury,,1
ES87084490,2024-07-03,dbb83833,Zone_64,31 Avenida Central,insured_101@mail.com,3f6906a8,EJ2984,Insured_101,600997261,repair_28,injury,,1
ES54795355,2024-07-04,ab824ba6,Zone_35,12 Avenida Central,insured_10@mail.com,63a52e08,PD7111,Insured_10,600335293,repair_33,collision,OO4562,1
ES87084490,2024-07-04,a25a1ebb,Zone_32,12 Avenida Central,insured_108@mail.com,4dfef435,DG3242,Insured_108,600335293,repair_38,collision,KD4732,1
ES73593231,2024-07-04,b9d5e6dc,Zone_78,38 Avenida Central,insured_75@mail.com,f2fe42ad,EL1845,Insured_75,600621704,repair_7,collision,FA6037,1
ES42953246,2024-07-06,4c287ede,Zone_12,18 Avenida Central,insured_84@mail.com,6551d2fd,EF7402,Insured_84,600596153,repair_11,collision,AF6232,1
ES82859036,2024-07-06,9849c843,Zone_2,33 Avenida Central,insured_112@mail.com,da5b8abb,IO5099,Insured_112,600446081,repair_5,injury,,0
ES87084490,2024-07-06,fc2f929f,Zone_25,32 Avenida Central,insured_100@mail.com,e60e4927,MH3801,Insured_100,600379103,repair_30,collision,ON9677,1
ES82859036,2024-07-06,7c9666a8,Zone_45,18 Avenida Central,insured_90@mail.com,a5c732d5,EI7604,Insured_90,600354258,repair_21,injury,CD9479,1
ES87084490,2024-07-06,2db8cd46,Zone_46,5 Avenida Central,insured_85@mail.com,e9595109,PC6530,Insured_85,600621704,repair_16,injury,,1
ES14234477,2024-07-06,4cb83c72,Zone_13,34 Avenida Central,insured_41@mail.com,04e2d329,LP4677,Insured_41,600809302,repair_25,injury,,1
