bank_account,claim_date,claim_id,claim_location,insurer_address,insurer_email,insurer_id,insurer_license_plate,insurer_name,insurer_phone_number,repair_shop,type_of_claim,third_party_license_plate,fraud,bank_account_used_to_connect_claims,betweenness_centrality,claim_location_used_to_connect_claims,closeness_centrality,component_size,connections_info,degree_centrality,insurer_address_used_to_connect_claims,insurer_email_used_to_connect_claims,insurer_license_plate_used_to_connect_claims,insurer_phone_number_used_to_connect_claims,repair_shop_used_to_connect_claims,third_party_license_plate_used_to_connect_claims,unique_bank_accounts_in_component,unique_claim_locations_in_component,unique_insurer_addresss_in_component,unique_insurer_emails_in_component,unique_insurer_license_plates_in_component,unique_insurer_phone_numbers_in_component,unique_repair_shops_in_component,unique_third_party_license_plates_in_component
ES31320114,2024-06-27,90a7e45b,Zone_68,18 Avenida Central,insured_82@mail.com,ef691dd6,FH5939,Insured_82,600904155,repair_39,injury,,1,0,0.0,0,0.0,1,[],1.0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
ES87084490,2024-06-28,3dbeee40,Zone_12,5 Avenida Central,insured_81@mail.com,98bddb58,II2118,Insured_81,600904155,repair_2,injury,,1,0,0.0,0,1.0,3,"[{""connected_to"": ""90a7e45b"", ""via"": ""insurer_phone_number"", ""value"": 600904155}, {""connected_to"": ""c06aa294"", ""via"": ""insurer_phone_number"", ""value"": 600904155}]",1.0,0,0,0,1,0,0,3,3,3,3,3,1,3,1
ES29088754,2024-06-28,c06aa294,Zone_55,10 Avenida Central,insured_95@mail.com,de264d0b,GH9194,Insured_95,600904155,repair_32,injury,OH7336,1,0,0.0,0,1.0,3,"[{""connected_to"": ""90a7e45b"", ""via"": ""insurer_phone_number"", ""value"": 600904155}, {""connected_to"": ""3dbeee40"", ""via"": ""insurer_phone_number"", ""value"": 600904155}]",1.0,0,0,0,1,0,0,3,3,3,3,3,1,3,1
ES42901579,2024-06-29,a2cef4f7,Zone_55,23 Avenida Central,insured_183@mail.com,be85e54f,JD4259,Insured_183,600446081,repair_35,injury,JJ4027,1,0,0.0,1,0.6,4,"[{""connected_to"": ""c06aa294"", ""via"": ""claim_location"", ""value"": ""Zone_55""}]",0.3333333333333333,0,0,0,1,0,0,4,3,4,4,4,2,4,2
ES67781085,2024-06-30,b40777f6,Zone_40,15 Avenida Central,insured_143@mail.com,d33cf3b9,EL1845,Insured_143,600189326,repair_30,collision,II2118,1,0,0.0,0,0.0,1,[],1.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ES71007570,2024-07-01,4f111138,Zone_59,27 Avenida Central,insured_70@mail.com,0dcaa02a,KC8145,Insured_70,600826184,repair_38,injury,AM2048,0,0,0.0,0,0.0,1,[],1.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ES54532647,2024-07-01,dbfb58bf,Zone_68,28 Avenida Central,insured_7@mail.com,4c26df1f,NJ5036,Insured_7,600335293,repair_33,collision,PD7111,0,0,0.0,2,0.5,5,"[{""connected_to"": ""90a7e45b"", ""via"": ""claim_location"", ""value"": ""Zone_68""}]",0.25,0,0,0,1,0,0,5,3,5,5,5,3,5,3
ES67429369,2024-07-02,b08e7bfd,Zone_74,23 Avenida Central,insured_94@mail.com,29ebafbf,DE3658,Insured_94,600432795,repair_12,collision,,1,0,0.0,2,0.38461538461538464,6,"[{""connected_to"": ""a2cef4f7"", ""via"": ""insurer_address"", ""value"": ""23 Avenida Central""}]",0.2,1,0,0,1,0,0,6,4,5,6,6,4,6,3
ES95330972,2024-07-03,48734acd,Zone_4,16 Avenida Central,insured_160@mail.com,1b221d9e,KB3576,Insured_160,600335293,repair_13,injury,,1,2,0.2222222222222222,2,0.391304347826087,10,"[{""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""1028b1e7"", ""via"": ""repair_shop"", ""value"": ""repair_13""}]",0.2222222222222222,1,0,0,3,1,0,8,8,9,10,10,6,9,3
ES54532647,2024-07-03,a4b96898,Zone_78,36 Avenida Central,insured_27@mail.com,f182a826,CL9466,Insured_27,600446081,repair_27,injury,,1,2,0.16666666666666666,2,0.45,10,"[{""connected_to"": ""a2cef4f7"", ""via"": ""insurer_phone_number"", ""value"": 600446081}, {""connected_to"": ""dbfb58bf"", ""via"": ""bank_account"", ""value"": ""ES54532647""}]",0.2222222222222222,1,0,0,3,1,0,8,8,9,10,10,6,9,3
