insurer_email,n_claims,fraud_rate
user0@ex.com,3,0.0
user1001@ex.com,1,0.0
user1002@ex.com,1,0.0
user1004@ex.com,1,0.0
user1005@ex.com,2,0.0
user1006@ex.com,1,0.0
user1008@ex.com,1,0.0
user1012@ex.com,1,0.0
user1013@ex.com,1,0.0
user1016@ex.com,1,0.0
user1018@ex.com,1,0.0
user1019@ex.com,1,0.0
user101@ex.com,1,0.0
user1020@ex.com,2,0.0
user1022@ex.com,2,0.5
user1024@ex.com,1,0.0
user1025@ex.com,1,0.0
user1027@ex.com,2,0.0
user1028@ex.com,1,0.0
user1029@ex.com,1,0.0
user102@ex.com,1,0.0
user1030@ex.com,1,0.0
user1035@ex.com,2,0.5
user1037@ex.com,1,0.0
user1038@ex.com,1,0.0
user1039@ex.com,1,0.0
user103@ex.com,1,0.0
user1040@ex.com,1,0.0
user1043@ex.com,2,0.0
user1044@ex.com,1,0.0
user1045@ex.com,1,0.0
user1046@ex.com,1,0.0
user1047@ex.com,1,0.0
user1048@ex.com,1,1.0
user1049@ex.com,1,0.0
user104@ex.com,3,0.0
user1059@ex.com,1,0.0
user105@ex.com,2,0.0
user1060@ex.com,1,0.0
user1062@ex.com,1,0.0
user1063@ex.com,1,0.0
user1064@ex.com,1,0.0
user1065@ex.com,1,0.0
user1066@ex.com,1,0.0
user1068@ex.com,1,0.0
user1069@ex.com,1,0.0
user1070@ex.com,2,0.0
user1071@ex.com,2,0.0
user1073@ex.com,3,0.0
user1075@ex.com,2,0.0
user1076@ex.com,2,0.0
user1077@ex.com,2,0.0
user1078@ex.com,1,0.0
user1079@ex.com,1,0.0
user107@ex.com,1,0.0
user1080@ex.com,2,0.5
user1081@ex.com,2,0.0
user1082@ex.com,3,0.0
user1083@ex.com,1,0.0
user1084@ex.com,1,0.0
user1086@ex.com,1,0.0
user1088@ex.com,4,0.0
user1091@ex.com,2,0.0
user1092@ex.com,2,0.0
user1094@ex.com,1,0.0
user1096@ex.com,2,0.0
user1097@ex.com,1,0.0
user10@ex.com,2,0.0
user1102@ex.com,2,0.0
user1104@ex.com,1,0.0
user1107@ex.com,1,0.0
user1108@ex.com,1,0.0
user110@ex.com,1,0.0
user1110@ex.com,1,0.0
user1111@ex.com,2,0.0
user1113@ex.com,1,0.0
user1114@ex.com,2,0.0
user1115@ex.com,1,0.0
user1116@ex.com,1,0.0
user111@ex.com,1,0.0
user1121@ex.com,1,0.0
user1122@ex.com,1,0.0
user1123@ex.com,1,1.0
user1125@ex.com,1,0.0
user1127@ex.com,1,0.0
user1128@ex.com,2,0.0
user1129@ex.com,1,0.0
user112@ex.com,1,0.0
user1130@ex.com,3,0.3333333333333333
user1132@ex.com,1,0.0
user1133@ex.com,1,0.0
user1135@ex.com,2,1.0
user1136@ex.com,1,0.0
user1137@ex.com,1,0.0
user1138@ex.com,2,0.0
user1139@ex.com,2,0.0
user113@ex.com,2,0.0
user1140@ex.com,1,0.0
user1142@ex.com,2,0.5
user1146@ex.com,1,1.0
user1148@ex.com,4,0.0
user1149@ex.com,4,0.25
user1150@ex.com,1,0.0
user1151@ex.com,1,0.0
user1152@ex.com,2,0.0
user1154@ex.com,1,0.0
user1156@ex.com,1,1.0
user115@ex.com,1,0.0
user1160@ex.com,1,0.0
user1161@ex.com,1,1.0
user1162@ex.com,1,0.0
user1164@ex.com,1,0.0
user1165@ex.com,1,0.0
user1166@ex.com,1,0.0
user1168@ex.com,1,0.0
user1169@ex.com,3,0.0
user116@ex.com,1,0.0
user1170@ex.com,2,0.0
user1172@ex.com,1,1.0
user1174@ex.com,1,1.0
user1175@ex.com,1,0.0
user1177@ex.com,1,0.0
user1179@ex.com,1,0.0
user117@ex.com,1,1.0
user1180@ex.com,2,0.0
user1181@ex.com,1,0.0
user1182@ex.com,1,0.0
user1183@ex.com,2,0.0
user1184@ex.com,4,0.0
user1187@ex.com,1,1.0
user1188@ex.com,1,0.0
user1189@ex.com,1,0.0
user1192@ex.com,1,0.0
user1193@ex.com,1,0.0
user1195@ex.com,1,1.0
user1196@ex.com,1,0.0
user1197@ex.com,1,0.0
user1198@ex.com,2,0.0
user1199@ex.com,2,1.0
user119@ex.com,2,0.0
user11@ex.com,3,0.0
user1200@ex.com,3,0.0
user1201@ex.com,1,0.0
user1202@ex.com,2,0.0
user1203@ex.com,2,0.5
user1206@ex.com,2,0.0
user1209@ex.com,2,0.0
user1211@ex.com,2,0.0
user1212@ex.com,1,0.0
user1213@ex.com,1,1.0
user1215@ex.com,2,0.0
user1216@ex.com,2,0.5
user1217@ex.com,2,0.0
user1218@ex.com,1,0.0
user1219@ex.com,1,0.0
user1220@ex.com,1,0.0
user1221@ex.com,1,0.0
user1222@ex.com,1,0.0
user1224@ex.com,1,0.0
user1226@ex.com,1,0.0
user1229@ex.com,1,0.0
user1231@ex.com,2,0.5
user1232@ex.com,1,0.0
user1233@ex.com,2,0.0
user1234@ex.com,1,0.0
user1235@ex.com,2,0.0
user1236@ex.com,2,0.5
user1237@ex.com,2,0.5
user1238@ex.com,1,0.0
user1239@ex.com,1,1.0
user123@ex.com,1,0.0
user1243@ex.com,2,0.0
user1246@ex.com,1,0.0
user1249@ex.com,1,0.0
user124@ex.com,1,0.0
user1253@ex.com,1,0.0
user1257@ex.com,1,0.0
user1259@ex.com,1,0.0
user125@ex.com,1,0.0
user1262@ex.com,1,0.0
user1263@ex.com,1,0.0
user1264@ex.com,1,0.0
user1266@ex.com,1,0.0
user1267@ex.com,1,0.0
user1269@ex.com,1,1.0
user126@ex.com,1,0.0
user1270@ex.com,2,0.5
user1272@ex.com,1,0.0
user1275@ex.com,1,0.0
user1277@ex.com,1,0.0
user1278@ex.com,1,1.0
user127@ex.com,1,0.0
user1280@ex.com,1,0.0
user1283@ex.com,3,0.3333333333333333
user1285@ex.com,1,0.0
user1286@ex.com,2,0.0
user1287@ex.com,2,0.0
user1290@ex.com,2,0.0
user1291@ex.com,2,0.0
user1292@ex.com,1,0.0
user1297@ex.com,1,1.0
user1299@ex.com,1,0.0
user12@ex.com,2,0.0
user1300@ex.com,3,0.0
user1301@ex.com,3,0.0
user1302@ex.com,1,0.0
user1303@ex.com,1,0.0
user1304@ex.com,2,0.0
user1305@ex.com,3,0.0
user1307@ex.com,1,0.0
user1308@ex.com,3,0.3333333333333333
user130@ex.com,1,1.0
user1311@ex.com,2,0.0
user1312@ex.com,1,0.0
user1313@ex.com,1,0.0
user1314@ex.com,1,0.0
user1315@ex.com,1,0.0
user1317@ex.com,1,0.0
user1319@ex.com,1,0.0
user131@ex.com,1,0.0
user1320@ex.com,1,0.0
user1324@ex.com,2,0.5
user1325@ex.com,2,0.0
user1327@ex.com,1,0.0
user1328@ex.com,2,0.0
user1330@ex.com,1,0.0
user1331@ex.com,3,0.0
user1333@ex.com,1,0.0
user1334@ex.com,1,0.0
user1335@ex.com,4,0.0
user1336@ex.com,1,0.0
user1338@ex.com,2,0.5
user1339@ex.com,2,0.0
user133@ex.com,1,0.0
user1340@ex.com,3,0.3333333333333333
user1341@ex.com,1,0.0
user1344@ex.com,1,0.0
user1345@ex.com,3,0.3333333333333333
user1348@ex.com,1,0.0
user1349@ex.com,3,0.0
user134@ex.com,1,0.0
user1351@ex.com,2,0.0
user1352@ex.com,1,0.0
user135@ex.com,3,0.0
user1360@ex.com,4,0.5
user1363@ex.com,1,0.0
user1364@ex.com,1,0.0
user1366@ex.com,2,0.0
user1367@ex.com,2,0.0
user1368@ex.com,2,0.0
user136@ex.com,2,0.0
user1372@ex.com,1,0.0
user1374@ex.com,3,0.0
user1375@ex.com,1,0.0
user1377@ex.com,1,0.0
user1378@ex.com,3,0.0
user1379@ex.com,1,0.0
user137@ex.com,1,0.0
user1381@ex.com,4,0.0
user1384@ex.com,3,0.6666666666666666
user1385@ex.com,2,0.5
user1387@ex.com,2,0.5
user1388@ex.com,1,0.0
user1389@ex.com,1,0.0
user1390@ex.com,3,0.0
user1392@ex.com,2,0.5
user1394@ex.com,1,0.0
user1396@ex.com,1,0.0
user13@ex.com,1,0.0
user1400@ex.com,2,0.0
user1401@ex.com,2,0.0
user1404@ex.com,1,0.0
user1405@ex.com,1,1.0
user1406@ex.com,1,0.0
user1408@ex.com,1,0.0
user140@ex.com,1,0.0
user1410@ex.com,1,0.0
user1411@ex.com,1,0.0
user1413@ex.com,1,1.0
user1416@ex.com,1,0.0
user1419@ex.com,1,0.0
user141@ex.com,3,0.0
user1420@ex.com,4,0.25
user1421@ex.com,1,0.0
user1424@ex.com,1,0.0
user1426@ex.com,1,1.0
user1427@ex.com,1,1.0
user1432@ex.com,1,0.0
user1433@ex.com,1,0.0
user1435@ex.com,1,0.0
user1436@ex.com,2,0.0
user1437@ex.com,1,0.0
user1439@ex.com,1,0.0
user1440@ex.com,1,0.0
user1442@ex.com,1,1.0
user1443@ex.com,3,0.3333333333333333
user1444@ex.com,1,0.0
user1445@ex.com,1,0.0
user1446@ex.com,1,0.0
user1447@ex.com,2,0.5
user144@ex.com,2,0.5
user1451@ex.com,2,0.0
user1453@ex.com,1,1.0
user1454@ex.com,2,0.5
user1455@ex.com,2,0.0
user1456@ex.com,1,0.0
user1457@ex.com,1,1.0
user1458@ex.com,3,0.0
user1459@ex.com,1,0.0
user1460@ex.com,2,0.0
user1461@ex.com,1,0.0
user1462@ex.com,3,0.0
user1463@ex.com,3,0.3333333333333333
user1469@ex.com,1,0.0
user1470@ex.com,1,1.0
user1473@ex.com,1,0.0
user1475@ex.com,1,0.0
user1478@ex.com,2,0.0
user147@ex.com,1,0.0
user1483@ex.com,4,0.0
user1488@ex.com,3,0.0
user1489@ex.com,1,0.0
user1490@ex.com,1,0.0
user1492@ex.com,2,0.0
user1494@ex.com,1,0.0
user1495@ex.com,1,0.0
user1496@ex.com,2,0.5
user1498@ex.com,1,0.0
user1499@ex.com,1,0.0
user149@ex.com,1,0.0
user14@ex.com,1,0.0
user1500@ex.com,1,0.0
user1501@ex.com,1,0.0
user1502@ex.com,1,0.0
user1503@ex.com,4,0.0
user1504@ex.com,3,0.0
user1506@ex.com,1,0.0
user1507@ex.com,1,0.0
user1508@ex.com,1,0.0
user1509@ex.com,2,0.0
user150@ex.com,1,0.0
user1510@ex.com,2,0.0
user1511@ex.com,2,0.0
user1512@ex.com,1,0.0
user1514@ex.com,1,0.0
user1515@ex.com,2,0.0
user1516@ex.com,1,0.0
user1517@ex.com,1,0.0
user1518@ex.com,2,0.5
user1519@ex.com,2,0.0
user1522@ex.com,3,0.3333333333333333
user1523@ex.com,1,0.0
user1524@ex.com,1,0.0
user1525@ex.com,1,0.0
user1526@ex.com,1,0.0
user1528@ex.com,2,0.0
user1530@ex.com,2,0.0
user1533@ex.com,2,0.0
user1534@ex.com,1,0.0
user1535@ex.com,1,0.0
user1536@ex.com,2,0.0
user1537@ex.com,1,1.0
user1538@ex.com,1,1.0
user153@ex.com,1,0.0
user1540@ex.com,1,1.0
user1541@ex.com,2,0.0
user1544@ex.com,1,0.0
user1547@ex.com,1,0.0
user1549@ex.com,1,0.0
user154@ex.com,1,0.0
user1551@ex.com,3,0.0
user1552@ex.com,1,0.0
user1555@ex.com,3,0.0
user1556@ex.com,1,0.0
user1558@ex.com,3,0.0
user155@ex.com,1,0.0
user1562@ex.com,4,0.0
user1563@ex.com,1,1.0
user1564@ex.com,2,0.0
user1565@ex.com,2,0.0
user1566@ex.com,2,0.0
user1568@ex.com,1,0.0
user1569@ex.com,2,0.0
user1571@ex.com,3,0.0
user1573@ex.com,1,0.0
user1575@ex.com,2,0.0
user157@ex.com,1,1.0
user1583@ex.com,1,0.0
user1585@ex.com,3,0.0
user1586@ex.com,1,1.0
user1588@ex.com,2,0.0
user158@ex.com,2,0.0
user1591@ex.com,1,0.0
user1593@ex.com,2,0.0
user1597@ex.com,1,0.0
user1599@ex.com,1,0.0
user15@ex.com,1,0.0
user1604@ex.com,1,0.0
user1606@ex.com,5,0.0
user1607@ex.com,1,0.0
user1608@ex.com,1,0.0
user1609@ex.com,3,0.0
user160@ex.com,1,1.0
user1610@ex.com,1,0.0
user1611@ex.com,1,0.0
user1612@ex.com,3,0.0
user1614@ex.com,3,0.3333333333333333
