insurer_phone_number,n_claims,fraud_rate
34600000001,1,0.0
34600000002,2,0.5
34600000005,2,0.0
34600000006,1,0.0
34600000007,1,1.0
34600000008,1,0.0
34600000009,1,0.0
34600000010,3,0.0
34600000012,3,0.0
34600000013,1,0.0
34600000015,2,0.0
34600000016,2,0.0
34600000017,3,0.0
34600000018,2,0.0
34600000019,1,0.0
34600000020,2,0.5
34600000021,3,0.3333333333333333
34600000022,2,0.0
34600000023,2,0.5
34600000024,1,0.0
34600000028,2,0.0
34600000029,2,0.0
34600000030,1,0.0
34600000031,1,0.0
34600000032,1,0.0
34600000034,1,0.0
34600000036,1,0.0
34600000041,2,0.0
34600000043,2,0.0
34600000045,1,0.0
34600000046,2,0.5
34600000047,2,0.0
34600000048,1,0.0
34600000049,1,0.0
34600000050,1,0.0
34600000051,1,0.0
34600000055,1,0.0
34600000056,2,0.0
34600000059,2,0.0
34600000061,2,0.0
34600000063,1,0.0
34600000064,1,0.0
34600000066,3,0.0
34600000067,2,0.0
34600000069,3,0.0
34600000070,1,0.0
34600000071,3,0.3333333333333333
34600000072,1,0.0
34600000073,2,0.0
34600000074,4,0.5
34600000076,1,0.0
34600000077,1,0.0
34600000079,1,0.0
34600000083,6,0.3333333333333333
34600000084,1,0.0
34600000086,6,0.3333333333333333
34600000087,3,0.3333333333333333
34600000088,2,0.0
34600000089,2,0.0
34600000090,1,0.0
34600000092,1,0.0
34600000093,1,0.0
34600000095,1,0.0
34600000096,1,0.0
34600000097,1,1.0
34600000098,2,0.5
34600000099,1,1.0
34600000100,2,1.0
34600000101,1,0.0
34600000102,1,0.0
34600000103,1,0.0
34600000104,2,0.0
34600000105,1,0.0
34600000106,2,0.0
34600000107,1,1.0
34600000108,3,0.0
34600000110,1,0.0
34600000111,1,0.0
34600000112,3,0.0
34600000113,2,0.0
34600000115,1,0.0
34600000116,1,0.0
34600000120,1,0.0
34600000121,1,0.0
34600000122,2,0.0
34600000123,1,0.0
34600000124,2,0.0
34600000125,5,0.2
34600000126,3,0.0
34600000129,4,0.25
34600000130,1,0.0
34600000132,1,0.0
34600000134,2,0.0
34600000135,2,0.0
34600000136,1,0.0
34600000138,1,0.0
34600000139,1,0.0
34600000140,1,0.0
34600000141,1,1.0
34600000144,1,1.0
34600000145,1,1.0
34600000146,1,0.0
34600000147,1,0.0
34600000151,2,0.0
34600000152,1,0.0
34600000153,3,0.3333333333333333
34600000154,1,0.0
34600000155,3,0.6666666666666666
34600000156,1,0.0
34600000157,1,0.0
34600000158,5,0.0
34600000159,1,1.0
34600000161,2,0.0
34600000163,3,0.0
34600000164,1,0.0
34600000168,1,0.0
34600000169,1,0.0
34600000170,1,0.0
34600000171,1,1.0
34600000173,1,0.0
34600000174,1,0.0
34600000175,3,0.0
34600000176,1,1.0
34600000177,3,0.0
34600000179,1,1.0
34600000180,1,0.0
34600000181,1,0.0
34600000183,2,0.0
34600000185,1,0.0
34600000191,1,0.0
34600000192,1,0.0
34600000194,2,0.0
34600000195,1,0.0
34600000197,1,1.0
34600000198,2,0.0
34600000200,1,0.0
34600000201,1,0.0
34600000202,2,0.0
34600000204,1,0.0
34600000206,3,0.3333333333333333
34600000209,1,0.0
34600000210,1,1.0
34600000211,1,0.0
34600000213,2,0.5
34600000214,1,0.0
34600000215,2,0.0
34600000216,2,0.0
34600000217,2,0.0
34600000218,1,1.0
34600000220,1,1.0
34600000221,1,0.0
34600000223,2,0.0
34600000228,2,0.0
34600000229,2,0.0
34600000230,1,0.0
34600000232,1,0.0
34600000234,1,0.0
34600000237,3,0.3333333333333333
34600000238,3,0.3333333333333333
34600000239,1,0.0
34600000243,2,0.0
34600000244,2,0.0
34600000245,1,0.0
34600000246,1,0.0
34600000247,1,0.0
34600000248,2,0.0
34600000249,4,0.25
34600000250,2,0.0
34600000251,2,0.5
34600000253,1,0.0
34600000255,2,0.0
34600000256,1,0.0
34600000257,1,0.0
34600000258,1,0.0
34600000259,2,0.0
34600000260,1,0.0
34600000262,1,0.0
34600000264,2,0.5
34600000265,2,0.5
34600000266,1,0.0
34600000267,2,0.0
34600000268,2,0.0
34600000269,2,0.0
34600000270,3,0.3333333333333333
34600000271,1,0.0
34600000272,1,1.0
34600000274,2,0.0
34600000275,1,1.0
34600000276,1,0.0
34600000277,1,0.0
34600000278,3,0.6666666666666666
34600000279,1,0.0
34600000280,1,0.0
34600000282,1,0.0
34600000285,5,0.6
34600000286,1,0.0
34600000288,3,0.3333333333333333
34600000289,1,0.0
34600000292,1,0.0
34600000293,1,0.0
34600000295,4,0.25
34600000296,1,0.0
34600000297,1,0.0
34600000298,2,0.0
34600000299,6,0.3333333333333333
34600000301,1,0.0
34600000302,2,0.0
34600000303,1,0.0
34600000305,3,0.0
34600000306,2,0.5
34600000307,2,0.0
34600000309,3,0.0
34600000312,2,0.0
34600000314,1,0.0
34600000316,3,0.0
34600000317,2,0.0
34600000318,3,0.0
34600000320,1,1.0
34600000321,5,0.4
34600000323,3,0.3333333333333333
34600000325,3,0.0
34600000326,1,0.0
34600000328,2,0.0
34600000329,2,0.0
34600000333,1,0.0
34600000334,1,0.0
34600000335,1,0.0
34600000336,4,0.0
34600000339,2,0.0
34600000340,1,0.0
34600000341,1,1.0
34600000342,2,0.0
34600000345,1,0.0
34600000346,3,0.0
34600000347,1,0.0
34600000348,1,0.0
34600000349,4,0.25
34600000351,1,0.0
34600000353,1,0.0
34600000354,1,0.0
34600000355,1,0.0
34600000356,6,0.3333333333333333
34600000357,2,0.0
34600000360,2,0.0
34600000362,2,0.0
34600000363,2,0.0
34600000364,1,0.0
34600000366,1,0.0
34600000367,1,1.0
34600000368,2,0.5
34600000371,5,0.0
34600000374,2,0.5
34600000375,1,0.0
34600000376,1,1.0
34600000378,1,1.0
34600000379,1,0.0
34600000380,2,0.5
34600000382,1,0.0
34600000383,1,0.0
34600000384,2,0.5
34600000387,3,0.0
34600000388,4,0.0
34600000389,2,0.0
34600000390,2,0.0
34600000394,1,0.0
34600000395,2,0.0
34600000396,2,0.0
34600000397,1,0.0
34600000398,1,0.0
34600000399,4,0.0
34600000401,1,0.0
34600000402,5,0.0
34600000405,2,0.0
34600000406,1,0.0
34600000407,1,0.0
34600000408,3,0.0
34600000409,1,1.0
34600000410,1,0.0
34600000411,1,0.0
34600000412,2,0.0
34600000413,3,0.0
34600000414,2,0.0
34600000416,1,0.0
34600000417,1,0.0
34600000418,4,0.0
34600000419,3,0.0
34600000421,1,1.0
34600000422,2,0.0
34600000423,1,0.0
34600000425,2,0.0
34600000426,1,0.0
34600000427,3,0.3333333333333333
34600000428,1,0.0
34600000430,3,0.0
34600000433,2,0.5
34600000434,1,0.0
34600000435,1,0.0
34600000436,1,0.0
34600000437,1,0.0
34600000438,1,0.0
34600000442,2,0.0
34600000443,1,0.0
34600000445,1,0.0
34600000447,1,0.0
34600000448,1,0.0
34600000449,1,0.0
34600000451,1,0.0
34600000452,2,0.0
34600000453,1,0.0
34600000454,1,0.0
34600000455,2,0.5
34600000456,1,0.0
34600000457,4,0.5
34600000460,1,1.0
34600000462,1,0.0
34600000464,2,0.0
34600000465,1,1.0
34600000467,2,0.0
34600000469,6,0.0
34600000470,1,1.0
34600000471,2,0.5
34600000472,1,0.0
34600000474,2,0.0
34600000475,1,0.0
34600000477,1,0.0
34600000478,1,0.0
34600000479,2,0.0
34600000481,2,0.0
34600000482,2,0.5
34600000484,1,0.0
34600000485,3,0.3333333333333333
34600000487,2,0.0
34600000489,1,0.0
34600000490,3,0.0
34600000491,2,0.0
34600000492,1,0.0
34600000494,2,0.0
34600000496,1,0.0
34600000497,1,0.0
34600000498,1,0.0
34600000499,2,0.0
34600000500,1,0.0
34600000501,2,0.5
34600000502,2,0.0
34600000503,1,0.0
34600000504,2,0.0
34600000505,3,0.0
34600000506,1,0.0
34600000508,3,0.0
34600000510,1,0.0
34600000512,4,0.0
34600000513,1,0.0
34600000514,2,0.5
34600000516,1,0.0
34600000517,1,0.0
34600000519,1,0.0
34600000520,2,0.0
34600000521,1,0.0
34600000523,1,0.0
34600000524,1,0.0
34600000525,2,0.0
34600000526,1,0.0
34600000527,1,0.0
34600000528,1,0.0
34600000529,1,0.0
34600000530,1,0.0
34600000533,2,0.0
34600000535,1,0.0
34600000537,1,0.0
34600000540,1,0.0
34600000542,6,0.0
34600000543,2,0.5
34600000544,3,0.0
34600000545,3,0.3333333333333333
34600000547,3,0.0
34600000549,4,0.25
34600000550,2,0.0
34600000551,3,0.0
34600000552,3,0.3333333333333333
34600000555,2,0.5
34600000556,1,0.0
34600000557,1,0.0
34600000561,1,1.0
34600000562,1,0.0
34600000564,1,0.0
34600000565,2,0.0
34600000567,2,0.0
34600000568,2,0.0
34600000570,1,0.0
34600000571,4,0.0
34600000572,3,0.0
34600000574,1,0.0
34600000575,1,0.0
34600000576,2,0.0
34600000577,1,0.0
34600000580,6,0.6666666666666666
34600000582,1,0.0
34600000585,3,0.0
34600000586,1,1.0
34600000587,1,0.0
34600000588,3,0.0
34600000589,3,0.3333333333333333
34600000591,3,0.3333333333333333
34600000592,3,0.0
34600000593,1,0.0
34600000594,1,0.0
34600000595,1,0.0
34600000597,3,0.0
34600000600,2,0.5
34600000601,1,0.0
34600000603,2,0.0
34600000604,1,1.0
34600000605,7,0.14285714285714285
34600000606,3,0.3333333333333333
34600000608,2,0.0
34600000609,3,0.0
34600000610,2,0.0
34600000611,1,0.0
34600000612,2,0.5
34600000617,4,0.0
34600000618,1,0.0
34600000619,9,0.5555555555555556
34600000620,1,0.0
34600000621,1,0.0
34600000622,1,0.0
34600000624,1,0.0
34600000625,2,0.5
34600000626,2,0.0
34600000627,3,0.0
34600000629,1,0.0
34600000630,3,0.3333333333333333
34600000632,2,0.0
34600000633,1,0.0
34600000634,1,0.0
34600000635,1,0.0
34600000636,1,0.0
34600000638,1,0.0
34600000639,6,0.16666666666666666
34600000641,1,0.0
34600000642,1,0.0
34600000643,5,0.4
34600000645,2,0.0
34600000647,1,0.0
34600000648,1,0.0
34600000649,2,0.0
34600000650,2,0.0
34600000651,1,0.0
34600000652,2,0.0
34600000655,1,0.0
34600000656,1,0.0
34600000657,1,0.0
34600000658,1,0.0
34600000659,2,0.0
34600000660,1,0.0
34600000661,1,0.0
34600000662,1,0.0
34600000664,3,0.0
34600000666,1,1.0
34600000668,2,0.0
34600000669,3,0.0
34600000670,5,0.4
34600000671,2,0.0
34600000672,1,0.0
34600000673,1,0.0
34600000674,1,0.0
34600000675,1,0.0
34600000678,1,0.0
34600000680,1,0.0
34600000681,1,0.0
34600000683,3,0.0
34600000684,2,0.0
34600000685,1,0.0
34600000686,1,0.0
34600000687,2,0.0
34600000689,2,0.0
34600000691,1,0.0
34600000692,1,0.0
34600000700,3,0.0
34600000701,1,0.0
34600000702,1,0.0
34600000703,3,0.0
34600000706,3,0.0
34600000707,1,0.0
34600000708,2,0.0
34600000709,2,0.0
34600000710,1,0.0
34600000711,1,0.0
34600000712,1,0.0
34600000713,2,0.0
34600000717,8,0.25
34600000718,1,0.0
34600000719,2,0.0
34600000720,2,0.0
34600000721,1,0.0
34600000724,2,0.0
34600000726,3,0.0
34600000728,2,0.0
34600000730,3,0.0
34600000731,1,0.0
34600000732,2,0.0
34600000733,1,0.0
34600000739,2,0.0
34600000740,1,0.0
34600000744,4,0.0
34600000745,1,0.0
34600000747,1,0.0
34600000748,2,0.0
34600000752,1,1.0
34600000753,1,0.0
34600000754,2,0.5
34600000755,1,0.0
34600000756,1,1.0
34600000757,2,0.0
34600000758,1,0.0
34600000759,1,0.0
34600000762,2,0.0
34600000763,2,0.0
34600000764,1,0.0
34600000765,3,0.3333333333333333
34600000766,1,0.0
34600000767,1,0.0
34600000768,1,0.0
34600000769,3,0.0
34600000770,1,0.0
34600000772,1,0.0
34600000773,2,0.0
34600000775,2,0.0
34600000776,1,0.0
34600000777,2,0.0
34600000780,2,0.0
34600000781,1,0.0
34600000785,2,0.5
34600000788,1,0.0
34600000789,2,0.0
34600000790,5,0.2
34600000792,2,0.0
34600000793,2,0.0
34600000794,2,0.0
34600000796,6,0.0
34600000797,2,0.0
34600000801,1,0.0
34600000802,2,0.0
34600000803,1,0.0
34600000805,1,0.0
34600000807,1,0.0
34600000808,1,0.0
34600000809,3,0.0
34600000811,1,0.0
34600000814,1,0.0
34600000815,1,1.0
34600000816,2,0.0
34600000818,1,0.0
34600000819,1,0.0
34600000820,2,0.0
34600000821,2,0.0
34600000822,1,0.0
34600000825,4,0.25
34600000826,1,0.0
34600000828,2,0.0
34600000830,1,0.0
34600000831,1,1.0
34600000832,1,0.0
34600000834,2,1.0
34600000837,3,0.0
34600000838,2,0.5
34600000840,2,0.0
34600000842,1,0.0
34600000843,2,0.5
34600000847,1,0.0
34600000848,1,0.0
34600000852,2,0.0
34600000853,2,0.0
34600000854,2,0.5
34600000855,1,0.0
34600000856,1,0.0
34600000857,2,0.0
34600000858,2,0.0
34600000859,1,0.0
34600000860,3,0.0
34600000861,1,1.0
34600000862,3,0.0
34600000865,1,0.0
34600000866,1,0.0
34600000868,2,0.0
34600000869,1,0.0
34600000871,1,0.0
34600000872,1,0.0
34600000873,1,1.0
34600000874,1,0.0
34600000876,4,0.25
34600000879,3,0.0
34600000882,1,0.0
34600000883,2,0.0
34600000884,2,0.0
34600000885,1,0.0
34600000886,1,0.0
34600000890,2,0.0
34600000891,2,0.5
34600000892,2,0.0
34600000893,2,1.0
34600000894,2,0.5
34600000895,1,0.0
34600000896,1,0.0
34600000897,3,0.0
34600000898,2,0.0
34600000900,2,0.0
34600000901,1,0.0
34600000902,2,0.0
34600000904,1,0.0
34600000907,1,0.0
34600000909,2,0.0
34600000910,3,0.0
34600000911,2,0.0
34600000912,4,0.0
34600000914,1,0.0
34600000915,1,1.0
34600000916,2,0.0
34600000918,1,0.0
34600000919,4,0.5
34600000920,2,0.0
34600000921,1,0.0
34600000924,1,0.0
34600000927,4,0.0
34600000929,1,0.0
34600000930,1,0.0
34600000931,3,0.0
34600000933,4,0.0
34600000934,1,1.0
34600000935,1,0.0
34600000936,1,0.0
34600000938,1,0.0
34600000940,1,0.0
34600000941,2,0.5
34600000942,4,0.0
34600000943,2,0.0
34600000945,3,0.3333333333333333
34600000946,1,0.0
34600000947,1,0.0
34600000948,1,0.0
34600000949,1,0.0
34600000950,1,1.0
34600000951,1,0.0
34600000953,1,0.0
34600000954,1,0.0
34600000955,2,0.0
34600000958,1,0.0
34600000959,1,0.0
34600000960,3,0.3333333333333333
34600000961,1,0.0
34600000962,3,0.0
34600000964,1,0.0
34600000965,2,0.5
34600000966,1,1.0
34600000967,1,1.0
34600000968,1,1.0
34600000969,1,0.0
34600000971,2,0.0
34600000972,1,0.0
34600000973,1,0.0
34600000975,1,0.0
34600000976,1,0.0
34600000977,1,0.0
34600000978,1,0.0
34600000979,2,0.0
34600000980,1,0.0
34600000981,5,0.2
34600000982,2,0.0
34600000983,1,0.0
34600000984,1,1.0
34600000987,1,0.0
34600000988,1,0.0
34600000990,1,1.0
34600000991,2,0.0
34600000992,2,0.0
34600000993,4,0.0
34600000994,1,0.0
34600000996,1,0.0
34600000998,2,0.0
34600000999,1,0.0
34600001000,1,0.0
34600001002,3,0.0
34600001004,2,0.0
34600001007,2,0.0
34600001008,1,0.0
34600001009,1,0.0
34600001011,2,0.0
34600001012,1,0.0
34600001013,2,0.5
34600001014,2,0.0
34600001015,1,0.0
34600001017,1,0.0
34600001018,2,0.0
34600001019,4,0.0
34600001020,2,0.0
34600001021,1,0.0
34600001022,1,0.0
34600001023,1,0.0
34600001024,2,0.0
34600001026,1,1.0
34600001027,2,0.5
34600001028,5,0.2
34600001030,3,0.0
34600001031,1,0.0
34600001033,2,0.0
34600001034,6,0.16666666666666666
34600001035,2,0.5
34600001036,1,0.0
34600001038,1,1.0
34600001041,1,0.0
34600001043,2,0.0
34600001044,1,0.0
34600001045,2,0.0
34600001046,3,0.3333333333333333
34600001048,2,0.0
34600001049,3,0.0
34600001053,3,0.0
34600001054,2,0.5
34600001055,1,0.0
34600001056,1,0.0
34600001057,1,0.0
34600001058,1,0.0
34600001059,1,0.0
34600001060,1,0.0
34600001061,2,0.5
34600001063,1,0.0
34600001066,1,0.0
34600001067,1,0.0
34600001068,1,1.0
34600001069,2,0.0
34600001071,1,0.0
34600001073,2,0.0
34600001075,1,0.0
34600001077,1,0.0
34600001078,1,0.0
34600001079,1,0.0
34600001080,2,0.0
34600001081,1,0.0
34600001084,3,0.0
34600001087,1,0.0
34600001088,3,0.0
34600001089,3,0.0
34600001090,2,0.5
34600001091,1,0.0
34600001093,1,0.0
34600001094,3,0.0
34600001096,1,0.0
34600001097,3,0.3333333333333333
34600001098,4,0.25
34600001100,2,0.0
34600001101,1,0.0
34600001102,1,0.0
34600001103,1,1.0
34600001104,1,0.0
34600001105,6,0.16666666666666666
34600001107,3,0.0
34600001109,3,0.3333333333333333
34600001110,2,0.0
34600001112,1,0.0
34600001113,3,0.0
34600001114,1,0.0
34600001115,2,0.5
34600001118,2,0.0
34600001119,3,0.3333333333333333
34600001120,2,0.5
34600001121,1,0.0
34600001122,2,0.0
34600001124,1,0.0
34600001127,1,0.0
34600001128,2,0.0
34600001131,1,1.0
34600001132,1,0.0
34600001133,1,0.0
34600001134,1,0.0
34600001135,1,1.0
34600001136,2,0.0
34600001139,1,0.0
34600001140,1,0.0
34600001141,1,0.0
34600001142,2,0.0
34600001143,1,0.0
34600001144,1,0.0
34600001146,1,0.0
34600001147,3,0.3333333333333333
34600001148,1,0.0
34600001150,2,0.0
34600001152,1,0.0
34600001153,1,0.0
34600001154,2,0.0
34600001155,1,0.0
34600001158,4,0.5
34600001159,2,0.0
34600001161,3,0.3333333333333333
34600001163,1,0.0
34600001164,1,0.0
34600001165,1,0.0
34600001168,1,0.0
34600001169,2,0.5
