insurer_email,n_claims,fraud_rate,first_seen,last_seen
user2961@ex.com,8,0.0,2024-01-03,2024-02-08
user2017@ex.com,7,0.0,2024-01-13,2024-02-14
user1823@ex.com,5,0.2,2024-01-17,2024-02-26
user2100@ex.com,5,0.2,2024-01-04,2024-02-27
user1884@ex.com,5,0.0,2024-01-07,2024-02-18
user4940@ex.com,5,0.2,2024-01-13,2024-02-25
user4185@ex.com,5,0.2,2024-01-03,2024-02-18
user3143@ex.com,5,0.0,2024-01-11,2024-02-29
user4661@ex.com,5,0.2,2024-01-24,2024-02-23
user3033@ex.com,5,0.2,2024-01-11,2024-02-24
user3031@ex.com,5,0.0,2024-01-07,2024-02-26
user2811@ex.com,5,0.0,2024-01-18,2024-02-28
user1606@ex.com,5,0.0,2024-01-07,2024-02-03
user37@ex.com,5,0.0,2024-01-04,2024-02-20
user430@ex.com,5,0.0,2024-01-09,2024-02-28
user3991@ex.com,5,0.2,2024-01-29,2024-02-20
user1922@ex.com,4,0.0,2024-01-09,2024-02-01
user1971@ex.com,4,0.25,2024-01-03,2024-02-12
user638@ex.com,4,0.5,2024-01-27,2024-02-09
user1895@ex.com,4,0.5,2024-01-01,2024-01-31
user585@ex.com,4,0.0,2024-01-05,2024-01-29
user1088@ex.com,4,0.0,2024-01-08,2024-02-07
user1822@ex.com,4,0.25,2024-01-02,2024-01-19
user1848@ex.com,4,0.5,2024-01-21,2024-02-05
user1832@ex.com,4,0.25,2024-01-21,2024-02-29
