claim_id,claim_date,insurer_license_plate,insurer_phone_number,insurer_email,insurer_address,repair_shop,bank_account,claim_location,third_party_license_plate,is_fraud
20000000,2024-01-01,PLT101005,+34600003552,user1408@ex.com,STREET_463,SHOP_803,ES761000003697,LOC_481,TP_6635,0
20000072,2024-01-01,PLT107895,+34600001725,user4997@ex.com,STREET_2314,SHOP_698,ES761000001396,LOC_937,TP_1955,0
20000071,2024-01-01,PLT101436,+34600001020,user4833@ex.com,STREET_2550,SHOP_478,ES761000003455,LOC_394,TP_4109,0
20000070,2024-01-01,PLT103464,+34600003876,user1760@ex.com,STREET_2462,SHOP_759,ES761000003790,LOC_722,TP_4883,0
20000069,2024-01-01,PLT101926,+34600003602,user4493@ex.com,STREET_1935,SHOP_633,ES761000001070,LOC_727,TP_2861,0
20000068,2024-01-01,PLT104783,+34600000469,user2190@ex.com,STREET_2793,SHOP_369,ES761000002761,LOC_861,TP_4602,0
20000067,2024-01-01,PLT105597,+34600001510,user722@ex.com,STREET_1752,SHOP_167,ES761000003501,LOC_794,TP_1837,0
20000066,2024-01-01,PLT103247,+34600002884,user4317@ex.com,STREET_1068,SHOP_571,ES761000000961,LOC_101,TP_6718,0
20000065,2024-01-01,PLT104045,+34600000981,user3584@ex.com,STREET_1553,SHOP_886,ES761000002671,LOC_310,TP_565,0
20000064,2024-01-01,PLT103417,+34600000198,user2325@ex.com,STREET_368,SHOP_710,ES761000003783,LOC_704,TP_276,0
20000063,2024-01-01,PLT106014,+34600001194,user2564@ex.com,STREET_698,SHOP_999,ES761000000334,LOC_349,TP_2192,0
20000062,2024-01-01,PLT105853,+34600001199,user1206@ex.com,STREET_1346,SHOP_218,ES761000001427,LOC_53,TP_7226,0
20000061,2024-01-01,PLT106440,+34600000585,user1022@ex.com,STREET_448,SHOP_777,ES761000000053,LOC_563,TP_5094,0
20000060,2024-01-01,PLT101892,+34600003085,user4713@ex.com,STREET_751,SHOP_872,ES761000000186,LOC_816,TP_4710,0
20000059,2024-01-01,PLT105142,+34600001756,user1169@ex.com,STREET_1759,SHOP_17,ES761000002694,LOC_1097,TP_541,0
20000058,2024-01-01,PLT100529,+34600003968,user3323@ex.com,STREET_996,SHOP_28,ES761000003396,LOC_696,TP_1283,0
20000057,2024-01-01,PLT102781,+34600003482,user21@ex.com,STREET_2922,SHOP_467,ES761000002940,LOC_1066,TP_7271,0
20000056,2024-01-01,PLT107322,+34600000457,user1300@ex.com,STREET_1270,SHOP_583,ES761000001934,LOC_296,TP_3381,0
20000055,2024-01-01,PLT106263,+34600002941,user4331@ex.com,STREET_2397,SHOP_261,ES761000001606,LOC_74,TP_4857,0
20000054,2024-01-01,PLT102654,+34600000893,user3575@ex.com,STREET_2109,SHOP_714,ES761000001066,LOC_50,TP_4447,1
20000053,2024-01-01,PLT106546,+34600001087,user3733@ex.com,STREET_2210,SHOP_491,ES761000001888,LOC_118,TP_5790,0
20000052,2024-01-01,PLT104161,+34600000603,user45@ex.com,STREET_2051,SHOP_235,ES761000001456,LOC_912,TP_902,0
20000073,2024-01-01,PLT105798,+34600001569,user4992@ex.com,STREET_815,SHOP_98,ES761000001515,LOC_191,TP_6595,0
20000051,2024-01-01,PLT106595,+34600003425,user2474@ex.com,STREET_2098,SHOP_334,ES761000003643,LOC_752,TP_6703,1
20000075,2024-01-01,PLT103269,+34600003944,user906@ex.com,STREET_2554,SHOP_120,ES761000003762,LOC_293,TP_132,0
20000077,2024-01-01,PLT102451,+34600002801,user3132@ex.com,STREET_2642,SHOP_210,ES761000002595,LOC_695,TP_1791,0
20000098,2024-01-01,PLT104569,+34600002012,user3596@ex.com,STREET_2141,SHOP_665,ES761000003033,LOC_289,TP_6770,1
20000097,2024-01-01,PLT103081,+34600001404,user1390@ex.com,STREET_1141,SHOP_555,ES761000000271,LOC_460,TP_4641,0
20000096,2024-01-01,PLT104113,+34600001377,user4560@ex.com,STREET_2931,SHOP_408,ES761000000215,LOC_619,TP_4226,0
20000095,2024-01-01,PLT107707,+34600002710,user3214@ex.com,STREET_72,SHOP_901,ES761000003328,LOC_431,TP_3806,0
20000094,2024-01-01,PLT107279,+34600003194,user1420@ex.com,STREET_1240,SHOP_86,ES761000003589,LOC_292,TP_7744,0
